EMPLYEES_OBSV,YEAR_TIME,TOTAL_HOURS_OBSV
53728199,2021,2384071902.9
52865962,2018,2308231438.0
26984739,2023,1212582920.5
50993575,2017,2325973620.0
36866412,2016,1685454588.0
55630013,2019,2405975392.55115
55273620,2020,2397757621.31977
53499196,2022,2403232991.0
